Price;Host ID;Host Response Rate;Host Total Listings Count;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Smart Location;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count
38.0;25210614;100.0;1.0;Chopera;Arganzuela;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;1;1125;17;47;77;77;2;10.0;10.0;10.0;10.0;strict;1.0
110.0;23020190;100.0;2.0;Palacio;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.5;2.0;2.0;Real Bed;2;20;6;10;0;1;26;26;44;10.0;10.0;10.0;9.0;strict;2.0
80.0;6526398;;2.0;Palacio;Centro;Madrid, Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;1;0;30;1125;0;0;6;281;1;8.0;10.0;8.0;10.0;moderate;2.0
56.0;12761471;100.0;1.0;San Isidro;Carabanchel;Madrid, Spain;Other;Entire home/apt;5;1.0;3.0;3.0;Real Bed;2;20;2;1125;0;0;18;109;9;10.0;10.0;10.0;9.0;flexible;1.0
60.0;51736845;100.0;3.0;Rios Rosas;Chamberí;Madrid, Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;1;0;2;1125;10;10;27;299;20;10.0;10.0;10.0;9.0;flexible;3.0
150.0;3494012;96.0;4.0;Pinar del Rey;Hortaleza;Madrid, Spain;Chalet;Entire home/apt;11;3.0;4.0;12.0;Real Bed;8;15;2;1125;14;37;60;335;31;9.0;9.0;9.0;9.0;strict;4.0
70.0;9846285;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;3;8;18;48;75;350;13;9.0;9.0;10.0;9.0;moderate;1.0
24.0;1284868;100.0;2.0;Hispanoamérica;Chamartín;Madrid, Spain;Bed & Breakfast;Private room;1;1.0;1.0;2.0;Real Bed;1;15;2;1125;0;0;6;281;1;10.0;10.0;10.0;10.0;moderate;2.0
25.0;15258781;100.0;114.0;Sol;Centro;Madrid, Spain;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;1;5;10;1125;0;0;6;281;1;10.0;10.0;10.0;10.0;strict;97.0
50.0;29518293;100.0;4.0;Palacio;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;1;0;2;1125;0;5;24;299;28;9.0;9.0;10.0;9.0;moderate;4.0
